x,y,Predict,Actual,loss^2
-9.8,-4.6,0.0262394,0.00807824,0.000329827
-9.8,-4.4,0.0273919,0.00808772,0.000372652
-9.8,-4.2,0.0286326,0.00776031,0.000435654
-9.8,-4,0.0301278,0.00707532,0.000531415
-9.8,-3.8,0.0320988,0.0060213,0.000680034
-9.8,-3.6,0.0348088,0.00459678,0.000912763
-9.8,-3.4,0.0385211,0.00281064,0.00127523
-9.8,-3.2,0.043415,0.000682173,0.00182609
-9.8,-3,0.0494564,-0.0017591,0.00262302
-9.8,-2.8,0.0562565,-0.00447399,0.0036882
-9.8,-2.6,0.0629795,-0.00741447,0.0049553
-9.8,-2.4,0.0683964,-0.0105248,0.00622856
-9.8,-2.2,0.0711286,-0.0137429,0.00720317
-9.8,-2,0.0700182,-0.017002,0.00757251
-9.8,-1.8,0.0644755,-0.0202321,0.00717539
-9.8,-1.6,0.0546376,-0.0233624,0.006084
-9.8,-1.4,0.0412962,-0.0263227,0.00457232
-9.8,-1.2,0.0256678,-0.0290453,0.00299352
-9.8,-1,0.00911939,-0.0314675,0.0016473
-9.8,-0.8,-0.00705099,-0.0335327,0.000701279
-9.8,-0.6,-0.0217412,-0.0351921,0.000180929
-9.8,-0.4,-0.0340846,-0.0364066,5.39173e-06
-9.8,-0.2,-0.043433,-0.037147,3.95127e-05
-9.8,0,-0.0493186,-0.0373958,0.000142151
-9.8,0.2,-0.05141,-0.037147,0.000203431
-9.8,0.4,-0.0495003,-0.0364066,0.000171447
-9.8,0.6,-0.0435226,-0.0351921,6.93965e-05
-9.8,0.8,-0.0335935,-0.0335327,3.7044e-09
-9.8,1,-0.0200895,-0.0314675,0.000129459
-9.8,1.2,-0.00371873,-0.0290453,0.000641436
-9.8,1.4,0.0144287,-0.0263227,0.00166068
-9.8,1.6,0.0328915,-0.0233624,0.00316451
-9.8,1.8,0.0499351,-0.0202321,0.00492344
-9.8,2,0.0637337,-0.017002,0.00651825
-9.8,2.2,0.0726219,-0.0137429,0.00745889
-9.8,2.4,0.0753485,-0.0105248,0.00737422
-9.8,2.6,0.0712847,-0.00741447,0.00619355
-9.8,2.8,0.0605263,-0.00447399,0.00422503
-9.8,3,0.0438792,-0.0017591,0.00208285
-9.8,3.2,0.0227352,0.000682173,0.000486338
-9.8,3.4,-0.00112116,0.00281064,1.54591e-05
-9.8,3.6,-0.0257343,0.00459678,0.000919975
-9.8,3.8,-0.0491747,0.0060213,0.0030466
-9.8,4,-0.069688,0.00707532,0.0058926
-9.8,4.2,-0.0857896,0.00776031,0.00875158
-9.8,4.4,-0.0963053,0.00808772,0.0108979
-9.8,4.6,-0.100392,0.00807824,0.0117658
-9.8,4.8,-0.0975657,0.00776092,0.0110937
-9.8,5,-0.0877541,0.00717196,0.00901096
-9.8,5.2,-0.0713918,0.00635337,0.00604431
-9.8,5.4,-0.0495173,0.00535151,0.00301058
-9.8,5.6,-0.0238341,0.00421549,0.00078678
-9.8,5.8,0.00335121,0.00299555,1.26496e-07
-9.8,6,0.0293484,0.0017415,0.00076214
-9.8,6.2,0.0514495,0.000501162,0.00259574
-9.8,6.4,0.067353,-0.000681009,0.00462863
-9.8,6.6,0.0755215,-0.0017652,0.00597323
-9.8,6.8,0.0753911,-0.00271732,0.00610092
-9.8,7,0.0674043,-0.0035098,0.0050288
-9.8,7.2,0.0528951,-0.00412221,0.00325097
-9.8,7.4,0.0338868,-0.00454162,0.00147674
-9.8,7.6,0.0128353,-0.00476265,0.000309687
-9.8,7.8,-0.00765705,-0.00478736,8.23515e-06
-9.8,8,-0.0251365,-0.00462474,0.000420731
-9.8,8.2,-0.0376124,-0.00429017,0.00111037
-9.8,8.4,-0.0438602,-0.00380458,0.00160445
-9.8,8.6,-0.0436578,-0.00319342,0.00163736
-9.8,8.8,-0.037863,-0.00248562,0.00125156
-9.8,9,-0.0282216,-0.00171239,0.000702739
-9.8,9.2,-0.0169165,-0.000905996,0.000256337
-9.8,9.4,-0.00601554,-9.85651e-05,3.50106e-05
-9.8,9.6,0.00295687,0.000679074,5.18834e-06
-9.8,9.8,0.00918281,0.00139845,6.05963e-05
-9.6,-10,0.09788,0.000987892,0.00938808
-9.6,-9.8,0.0900202,0.000679074,0.00798183
-9.6,-9.6,0.081625,0.000329752,0.00660891
-9.6,-9.4,0.0728593,-4.78623e-05,0.00531545
-9.6,-9.2,0.0639169,-0.000439943,0.00414181
-9.6,-9,0.0550175,-0.000831521,0.00311911
-9.6,-8.8,0.0463908,-0.00120699,0.00226555
-9.6,-8.6,0.0382588,-0.00155069,0.0015848
-9.6,-8.4,0.0308217,-0.00184747,0.00106727
-9.6,-8.2,0.0242423,-0.00208327,0.000693035
-9.6,-8,0.0186354,-0.00224573,0.000436021
-9.6,-7.8,0.0140624,-0.0023247,0.000268537
-9.6,-7.6,0.010532,-0.0023127,0.000164987
-9.6,-7.4,0.00800562,-0.00220537,0.000104264
-9.6,-7.2,0.00640476,-0.0020017,7.06686e-05
-9.6,-7,0.0056237,-0.00170432,5.36999e-05
-9.6,-6.8,0.00553858,-0.00131951,4.70334e-05
-9.6,-6.6,0.00602126,-0.000857167,4.73128e-05
-9.6,-6.4,0.00694299,-0.000330692,5.29064e-05
-9.6,-6.2,0.00818276,0.00024336,6.30341e-05
-9.6,-6,0.00963223,0.000845655,7.72039e-05
-9.6,-5.8,0.0111971,0.00145461,9.49159e-05
-9.6,-5.6,0.0127977,0.002047,0.000115578
-9.6,-5.4,0.0143712,0.00259865,0.000138592
-9.6,-5.2,0.0158707,0.00308514,0.00016347
-9.6,-5,0.0172677,0.00348264,0.000190028
-9.6,-4.8,0.0185566,0.00376863,0.000218684
-9.6,-4.6,0.0197562,0.00392272,0.000250699
-9.6,-4.4,0.020921,0.00392732,0.000288785
-9.6,-4.2,0.0221492,0.00376834,0.000337856
-9.6,-4,0.0235898,0.00343571,0.000406189
-9.6,-3.8,0.0254502,0.00292389,0.000507436
-9.6,-3.6,0.0279852,0.00223216,0.00066322
-9.6,-3.4,0.0314636,0.00136482,0.000905938
-9.6,-3.2,0.036094,0.000331257,0.00127897
-9.6,-3,0.0419061,-0.000854203,0.00182845
-9.6,-2.8,0.0486056,-0.00217253,0.00257841
-9.6,-2.6,0.055465,-0.0036004,0.00348872
-9.6,-2.4,0.0613334,-0.00511074,0.00441483
-9.6,-2.2,0.0648375,-0.00667343,0.00511381
-9.6,-2,0.0647347,-0.008256,0.00532764
-9.6,-1.8,0.0602828,-0.00982454,0.00491504
-9.6,-1.6,0.0514534,-0.0113446,0.00394358
-9.6,-1.4,0.0389122,-0.012782,0.00267229
-9.6,-1.2,0.0238171,-0.0141041,0.00143802
-9.6,-1,0.00754237,-0.0152803,0.000520876
-9.6,-0.8,-0.00855923,-0.0162832,5.96591e-05
-9.6,-0.6,-0.023306,-0.017089,3.86515e-05
-9.6,-0.4,-0.0357493,-0.0176787,0.000326547
-9.6,-0.2,-0.0451714,-0.0180383,0.000736206
-9.6,0,-0.0510507,-0.0181591,0.00108186
-9.6,0.2,-0.0530287,-0.0180383,0.00122433
-9.6,0.4,-0.0508968,-0.0176787,0.00110344
-9.6,0.6,-0.0446118,-0.017089,0.000757506
-9.6,0.8,-0.0343471,-0.0162832,0.000326305
-9.6,1,-0.0205599,-0.0152803,2.78739e-05
-9.6,1.2,-0.00406015,-0.0141041,0.000100882
-9.6,1.4,0.0139568,-0.012782,0.000714965
-9.6,1.6,0.0319421,-0.0113446,0.00187374
-9.6,1.8,0.0481124,-0.00982454,0.00335669
-9.6,2,0.0606582,-0.008256,0.00474917
-9.6,2.2,0.0679982,-0.00667343,0.00557585
-9.6,2.4,0.0690303,-0.00511074,0.00549689
-9.6,2.6,0.0633113,-0.0036004,0.00447718
-9.6,2.8,0.0511365,-0.00217253,0.00284185
-9.6,3,0.0334871,-0.000854203,0.00117932
-9.6,3.2,0.0118872,0.000331257,0.00013354
-9.6,3.4,-0.011803,0.00136482,0.000173392
-9.6,3.6,-0.0356064,0.00223216,0.00143176
-9.6,3.8,-0.0576158,0.00292389,0.00366505
-9.6,4,-0.0761323,0.00343571,0.00633107
-9.6,4.2,-0.089746,0.00376834,0.00874493
-9.6,4.4,-0.0973817,0.00392732,0.0102635
-9.6,4.6,-0.0983263,0.00392272,0.0104549
-9.6,4.8,-0.0922828,0.00376863,0.00922587
-9.6,5,-0.0794445,0.00348264,0.00687691
-9.6,5.2,-0.0605981,0.00308514,0.00405556
-9.6,5.4,-0.0371954,0.00259865,0.00158357
-9.6,5.6,-0.0113388,0.002047,0.000179181
-9.6,5.8,0.0143867,0.00145461,0.000167238
-9.6,6,0.0372418,0.000845655,0.00132468
-9.6,6.2,0.05475,0.00024336,0.00297097
-9.6,6.4,0.0650983,-0.000330692,0.00428095
-9.6,6.6,0.0674044,-0.000857167,0.00465964
-9.6,6.8,0.0618055,-0.00131951,0.00398476
-9.6,7,0.0493914,-0.00170432,0.00261077
-9.6,7.2,0.0320151,-0.0020017,0.00115714
-9.6,7.4,0.0120445,-0.00220537,0.00020306
-9.6,7.6,-0.00792742,-0.0023127,3.1525e-05
-9.6,7.8,-0.0253963,-0.0023247,0.000532301
-9.6,8,-0.0382693,-0.00224573,0.0012977
-9.6,8.2,-0.0451882,-0.00208327,0.00185803
-9.6,8.4,-0.0457879,-0.00184747,0.00193076
-9.6,8.6,-0.0407948,-0.00155069,0.0015401
-9.6,8.8,-0.0318551,-0.00120699,0.000939307
-9.6,9,-0.0210993,-0.000831521,0.000410784
-9.6,9.2,-0.0105848,-0.000439943,0.000102919
-9.6,9.4,-0.00185335,-4.78623e-05,3.25977e-06
-9.6,9.6,0.00425243,0.000329752,1.53874e-05
-9.6,9.8,0.00753391,0.000679074,4.69887e-05
-9.4,-10,0.0998734,-0.000143389,0.0100034
-9.4,-9.8,0.0929053,-9.85651e-05,0.00864972
-9.4,-9.6,0.0852735,-4.78623e-05,0.00727974
-9.4,-9.4,0.0770988,6.94704e-06,0.00594316
-9.4,-9.2,0.0685396,6.38562e-05,0.00468893
-9.4,-9,0.0597874,0.000120692,0.00356012
-9.4,-8.8,0.0510558,0.000175191,0.00258884
-9.4,-8.6,0.0425701,0.000225078,0.0017931
-9.4,-8.4,0.0345502,0.000268153,0.00117526
-9.4,-8.2,0.0271938,0.000302379,0.000723148
-9.4,-8,0.0206633,0.000325959,0.000413606
-9.4,-7.8,0.0150739,0.000337421,0.000217164
-9.4,-7.6,0.0104884,0.00033568,0.000103078
-9.4,-7.4,0.00691903,0.000320101,4.35458e-05
-9.4,-7.2,0.00432885,0.00029054,1.63079e-05
-9.4,-7,0.00264418,0.000247376,5.74467e-06
-9.4,-6.8,0.00176263,0.000191522,2.46838e-06
-9.4,-6.6,0.0015645,0.000124415,2.07385e-06
-9.4,-6.4,0.00192356,4.79987e-05,3.51773e-06
-9.4,-6.2,0.00271428,-3.53228e-05,7.56029e-06
-9.4,-6,0.0038178,-0.000122744,1.55279e-05
-9.4,-5.8,0.00512803,-0.000211131,2.85066e-05
-9.4,-5.6,0.00655091,-0.000297115,4.68954e-05
-9.4,-5.4,0.00801039,-0.000377184,7.03514e-05
-9.4,-5.2,0.00944555,-0.000447797,9.78783e-05
-9.4,-5,0.0108149,-0.000505492,0.000128151
-9.4,-4.8,0.0120995,-0.000547003,0.000159934
-9.4,-4.6,0.0133053,-0.000569369,0.000192507
-9.4,-4.4,0.0144727,-0.000570037,0.000226285
-9.4,-4.2,0.0156842,-0.00054696,0.000263452
-9.4,-4,0.0170739,-0.000498681,0.000308795
-9.4,-3.8,0.018832,-0.000424392,0.000370807
-9.4,-3.6,0.0212034,-0.000323989,0.000463428
-9.4,-3.4,0.0244577,-0.000198099,0.000607908
-9.4,-3.2,0.028826,-4.80807e-05,0.000833712
-9.4,-3,0.0343926,0.000123984,0.00117434
-9.4,-2.8,0.0409532,0.000315334,0.00165143
-9.4,-2.6,0.047887,0.000522584,0.00224338
-9.4,-2.4,0.0541329,0.000741806,0.00285061
-9.4,-2.2,0.0583444,0.000968624,0.00329198
-9.4,-2,0.0592147,0.00119833,0.0033659
-9.4,-1.8,0.0558608,0.001426,0.00296314
-9.4,-1.6,0.0480878,0.00164663,0.00215679
-9.4,-1.4,0.0364221,0.00185527,0.00119487
-9.4,-1.2,0.0219464,0.00204716,0.000395981
-9.4,-1,0.00602782,0.00221789,1.45156e-05
-9.4,-0.8,-0.00993311,0.00236344,0.000151205
-9.4,-0.6,-0.0246799,0.0024804,0.000737682
-9.4,-0.4,-0.0371821,0.002566,0.00157991
-9.4,-0.2,-0.046648,0.00261819,0.00242716
-9.4,0,-0.0525022,0.00263572,0.00304019
-9.4,0.2,-0.0543571,0.00261819,0.00324618
-9.4,0.4,-0.0520029,0.002566,0.00297777
-9.4,0.6,-0.0454258,0.0024804,0.002295
-9.4,0.8,-0.034857,0.00236344,0.00138536
-9.4,1,-0.0208411,0.00221789,0.000531718
-9.4,1.2,-0.00428951,0.00204716,4.01534e-05
-9.4,1.4,0.0134999,0.00185527,0.000135596
-9.4,1.6,0.0308977,0.00164663,0.000855628
-9.4,1.8,0.0460894,0.001426,0.00199482
-9.4,2,0.0572984,0.00119833,0.00314722
-9.4,2.2,0.0630454,0.000968624,0.00385352
-9.4,2.4,0.0623895,0.000741806,0.00380044
-9.4,2.6,0.0550835,0.000522584,0.0029769
-9.4,2.8,0.0416162,0.000315334,0.00170576
-9.4,3,0.0231376,0.000123984,0.000529625
-9.4,3.2,0.00128973,-4.80807e-05,1.78972e-06
-9.4,3.4,-0.0220047,-0.000198099,0.000475529
-9.4,3.6,-0.0447598,-0.000323989,0.00197454
-9.4,3.8,-0.0651017,-0.000424392,0.00418316
-9.4,4,-0.0813957,-0.000498681,0.00654433
-9.4,4.2,-0.0923238,-0.00054696,0.00842298
-9.4,4.4,-0.0969307,-0.000570037,0.00928539
-9.4,4.6,-0.0946765,-0.000569369,0.00885615
-9.4,4.8,-0.0855062,-0.000547003,0.00721806
-9.4,5,-0.0699413,-0.000505492,0.00482133
-9.4,5.2,-0.0491683,-0.000447797,0.00237369
-9.4,5.4,-0.025057,-0.000377184,0.000609091
-9.4,5.6,-4.13656e-05,-0.000297115,6.54078e-08
-9.4,5.8,0.0231588,-0.000211131,0.000546153
-9.4,6,0.0419409,-0.000122744,0.00176935
-9.4,6.2,0.0542442,-3.53228e-05,0.00294626
-9.4,6.4,0.0588725,4.79987e-05,0.00346032
-9.4,6.6,0.055649,0.000124415,0.00308298
-9.4,6.8,0.0453925,0.000191522,0.00204313
-9.4,7,0.0297608,0.000247376,0.000871044
-9.4,7.2,0.011009,0.00029054,0.000114885
-9.4,7.4,-0.00830495,0.000320101,7.43916e-05
-9.4,7.6,-0.0256371,0.00033568,0.000674588
-9.4,7.8,-0.0388048,0.000337421,0.00153211
-9.4,8,-0.0463209,0.000325959,0.00217593
-9.4,8.2,-0.0476768,0.000302379,0.002302
-9.4,8.4,-0.043462,0.000268153,0.00191233
-9.4,8.6,-0.0352188,0.000225078,0.00125627
-9.4,8.8,-0.0250169,0.000175191,0.000634642
-9.4,9,-0.0148976,0.000120692,0.000225549
-9.4,9.2,-0.0064168,6.38562e-05,4.19989e-05
-9.4,9.4,-0.000441194,6.94704e-06,2.0083e-07
-9.4,9.6,0.00281,-4.78623e-05,8.16739e-06
-9.4,9.8,0.00359821,-9.85651e-05,1.36662e-05
-9.2,-10,0.100638,-0.00131801,0.010395
-9.2,-9.8,0.0946546,-0.000905996,0.00913182
-9.2,-9.6,0.087924,-0.000439943,0.00780819
-9.2,-9.4,0.0805254,6.38562e-05,0.00647406
-9.2,-9.2,0.0725754,0.000586957,0.00518234
-9.2,-9,0.0642281,0.00110939,0.00398397
-9.2,-8.8,0.0556688,0.00161033,0.00292232
-9.2,-8.6,0.0471076,0.00206888,0.00202848
-9.2,-8.4,0.0387657,0.00246483,0.00131775
-9.2,-8.2,0.0308592,0.00277942,0.000788476
-9.2,-8,0.0235844,0.00299617,0.000423874
-9.2,-7.8,0.0171028,0.00310152,0.000196037
-9.2,-7.6,0.0115299,0.00308552,7.13079e-05
-9.2,-7.4,0.00693095,0.00294232,1.59091e-05
-9.2,-7.2,0.00331986,0.0026706,4.21535e-07
-9.2,-7,0.000664473,0.00227385,2.59009e-06
-9.2,-6.8,-0.00110698,0.00176044,8.22207e-06
-9.2,-6.6,-0.00209224,0.0011436,1.04707e-05
-9.2,-6.4,-0.00240755,0.000441197,8.11536e-06
-9.2,-6.2,-0.00217676,-0.000324682,3.4302e-06
-9.2,-6,-0.0015223,-0.00112824,1.55284e-07
-9.2,-5.8,-0.000560284,-0.00194069,1.90552e-06
-9.2,-5.6,0.000604033,-0.00273104,1.11227e-05
-9.2,-5.4,0.00188053,-0.00346702,2.85963e-05
-9.2,-5.2,0.00319409,-0.00411608,5.34387e-05
-9.2,-5,0.00449014,-0.00464641,8.34764e-05
-9.2,-4.8,0.00573528,-0.00502797,0.000115848
-9.2,-4.6,0.00692129,-0.00523355,0.00014774
-9.2,-4.4,0.00807405,-0.00523969,0.000177256
-9.2,-4.2,0.00926054,-0.00502758,0.00020415
-9.2,-4,0.0105965,-0.0045838,0.000230442
-9.2,-3.8,0.0122577,-0.00390095,0.000261102
-9.2,-3.6,0.0144746,-0.00297806,0.000304596
-9.2,-3.4,0.0175138,-0.0018209,0.000373829
-9.2,-3.2,0.0216228,-0.000441951,0.000486852
-9.2,-3,0.0269325,0.00113965,0.00066527
-9.2,-2.8,0.03332,0.00289851,0.000925464
-9.2,-2.6,0.0402703,0.00480352,0.00125789
-9.2,-2.4,0.046821,0.00681857,0.00160019
-9.2,-2.2,0.0516708,0.00890345,0.00182905
-9.2,-2,0.0534711,0.0110149,0.00180253
-9.2,-1.8,0.0512133,0.0131075,0.00145205
-9.2,-1.6,0.0445359,0.0151355,0.00086438
-9.2,-1.4,0.0338163,0.0170533,0.000280998
-9.2,-1.2,0.020046,0.0188172,1.50985e-06
-9.2,-1,0.00457001,0.0203865,0.000250161
-9.2,-0.8,-0.0111742,0.0217244,0.00108232
-9.2,-0.6,-0.0258598,0.0227995,0.00236773
-9.2,-0.4,-0.0383747,0.0235863,0.00383916
-9.2,-0.2,-0.0478513,0.024066,0.0051721
-9.2,0,-0.0536602,0.0242272,0.00606644
-9.2,0.2,-0.0553825,0.024066,0.00631206
-9.2,0.4,-0.0528086,0.0235863,0.00583618
-9.2,0.6,-0.0459576,0.0227995,0.00472753
-9.2,0.8,-0.0351229,0.0217244,0.00323161
-9.2,1,-0.020938,0.0203865,0.00170772
-9.2,1.2,-0.0044173,0.0188172,0.000539844
-9.2,1.4,0.0130427,0.0170533,1.60853e-05
-9.2,1.6,0.0297441,0.0151355,0.000213412
-9.2,1.8,0.0438561,0.0131075,0.000945476
-9.2,2,0.0536529,0.0110149,0.001818
-9.2,2.2,0.0577766,0.00890345,0.00238858
-9.2,2.4,0.0554593,0.00681857,0.00236592
-9.2,2.6,0.0466516,0.00480352,0.00175126
-9.2,2.8,0.0320346,0.00289851,0.000848914
-9.2,3,0.0129147,0.00113965,0.000138651
-9.2,3.2,-0.00895929,-0.000441951,7.25451e-05
-9.2,3.4,-0.0316187,-0.0018209,0.00088791
-9.2,3.6,-0.0530795,-0.00297806,0.00251015
-9.2,3.8,-0.0715146,-0.00390095,0.00457161
-9.2,4,-0.0853667,-0.0045838,0.00652588
-9.2,4.2,-0.093431,-0.00502758,0.00781516
-9.2,4.4,-0.094909,-0.00523969,0.00804058
-9.2,4.6,-0.089483,-0.00523355,0.00709797
-9.2,4.8,-0.0774008,-0.00502797,0.00523783
-9.2,5,-0.0595696,-0.00464641,0.00301656
-9.2,5.2,-0.0375984,-0.00411608,0.00112106
-9.2,5.4,-0.0137299,-0.00346702,0.000105327
-9.2,5.6,0.00938797,-0.00273104,0.00014687
-9.2,5.8,0.0290784,-0.00194069,0.000962182
-9.2,6,0.0430694,-0.00112824,0.00195343
-9.2,6.2,0.0498664,-0.000324682,0.00251915
-9.2,6.4,0.0489695,0.000441197,0.002355
-9.2,6.6,0.040908,0.0011436,0.00158121
-9.2,6.8,0.0271173,0.00176044,0.000642968
-9.2,7,0.0097115,0.00227385,5.53187e-05
-9.2,7.2,-0.00880563,0.0026706,0.000131704
-9.2,7.4,-0.0258737,0.00294232,0.000830361
-9.2,7.6,-0.0392277,0.00308552,0.00179041
-9.2,7.8,-0.0472605,0.00310152,0.00253634
-9.2,8,-0.0493197,0.00299617,0.00273695
-9.2,8.2,-0.0458554,0.00277942,0.00236535
-9.2,8.4,-0.0382988,0.00246483,0.00166168
-9.2,8.6,-0.0286524,0.00206888,0.000943799
-9.2,8.8,-0.0189364,0.00161033,0.000422168
-9.2,9,-0.0107154,0.00110939,0.000139825
-9.2,9.2,-0.00487876,0.000586957,2.98741e-05
-9.2,9.4,-0.00166547,6.38562e-05,2.99058e-06
-9.2,9.6,-0.000827789,-0.000439943,1.50425e-07
-9.2,9.8,-0.00181007,-0.000905996,8.17357e-07
-9,-10,0.10012,-0.00249112,0.010529
