x,Predict,Actual
-4,-0.0694344,0.00496485
-3.98,-0.066537,0.00532798
-3.96,-0.0635884,0.00571515
-3.94,-0.0605881,0.00612775
-3.92,-0.0575353,0.00656723
-3.9,-0.0544288,0.00703511
-3.88,-0.0512681,0.00753299
-3.86,-0.0480528,0.00806254
-3.84,-0.0447812,0.00862547
-3.82,-0.0414534,0.00922361
-3.8,-0.0380681,0.00985884
-3.78,-0.0346247,0.0105331
-3.76,-0.0311223,0.0112485
-3.74,-0.0275599,0.0120072
-3.72,-0.023937,0.0128113
-3.7,-0.0202524,0.0136631
-3.68,-0.0165061,0.014565
-3.66,-0.0126958,0.0155196
-3.64,-0.00882226,0.0165293
-3.62,-0.00488341,0.0175968
-3.6,-0.000879169,0.0187248
-3.58,0.00319165,0.0199161
-3.56,0.00733018,0.0211738
-3.54,0.0115365,0.0225007
-3.52,0.0158119,0.0239
-3.5,0.0201574,0.0253749
-3.48,0.0245733,0.0269286
-3.46,0.0290611,0.0285645
-3.44,0.0336211,0.0302861
-3.42,0.0382546,0.0320969
-3.4,0.0429621,0.0340006
-3.38,0.0477445,0.0360007
-3.36,0.0526028,0.0381013
-3.34,0.0575376,0.0403059
-3.32,0.0625497,0.0426188
-3.3,0.0676402,0.0450437
-3.28,0.0728099,0.0475849
-3.26,0.0780592,0.0502464
-3.24,0.0833891,0.0530325
-3.22,0.0888004,0.0559473
-3.2,0.0942941,0.0589953
-3.18,0.0998708,0.0621807
-3.16,0.105531,0.0655078
-3.14,0.111275,0.0689812
-3.12,0.117105,0.0726052
-3.1,0.123021,0.0763842
-3.08,0.129023,0.0803227
-3.06,0.135113,0.084425
-3.04,0.14129,0.0886956
-3.02,0.147556,0.0931389
-3,0.153911,0.0977592
-2.98,0.160356,0.102561
-2.96,0.16689,0.107548
-2.94,0.173516,0.112725
-2.92,0.180233,0.118095
-2.9,0.187043,0.123663
-2.88,0.193943,0.129433
-2.86,0.200938,0.135409
-2.84,0.208025,0.141593
-2.82,0.215206,0.14799
-2.8,0.22248,0.154602
-2.78,0.229849,0.161433
-2.76,0.237312,0.168486
-2.74,0.244869,0.175763
-2.72,0.252522,0.183267
-2.7,0.260269,0.191
-2.68,0.268111,0.198964
-2.66,0.276049,0.20716
-2.64,0.284081,0.21559
-2.62,0.292208,0.224256
-2.6,0.30043,0.233157
-2.58,0.308747,0.242294
-2.56,0.317157,0.251667
-2.54,0.325662,0.261276
-2.52,0.334261,0.271119
-2.5,0.342953,0.281196
-2.48,0.351737,0.291505
-2.46,0.360613,0.302044
-2.44,0.369581,0.31281
-2.42,0.37864,0.323801
-2.4,0.387788,0.335012
-2.38,0.397025,0.34644
-2.36,0.40635,0.358081
-2.34,0.415761,0.369928
-2.32,0.425258,0.381977
-2.3,0.434839,0.394222
-2.28,0.444503,0.406655
-2.26,0.454248,0.41927
-2.24,0.464072,0.432059
-2.22,0.473973,0.445013
-2.2,0.483951,0.458124
-2.18,0.494002,0.471382
-2.16,0.504124,0.484777
-2.14,0.514315,0.498298
-2.12,0.524573,0.511935
-2.1,0.534894,0.525675
-2.08,0.545276,0.539505
-2.06,0.555716,0.553415
-2.04,0.566211,0.567389
-2.02,0.576756,0.581414
-2,0.587349,0.595475
-1.98,0.597986,0.609558
-1.96,0.608661,0.623648
-1.94,0.619372,0.637727
-1.92,0.630114,0.651781
-1.9,0.640881,0.665793
-1.88,0.651669,0.679744
-1.86,0.662472,0.693619
-1.84,0.673285,0.707398
-1.82,0.684101,0.721065
-1.8,0.694914,0.7346
-1.78,0.705717,0.747985
-1.76,0.716504,0.761202
-1.74,0.727267,0.774231
-1.72,0.737998,0.787054
-1.7,0.748689,0.799651
-1.68,0.759331,0.812003
-1.66,0.769915,0.82409
-1.64,0.780433,0.835895
-1.62,0.790872,0.847398
-1.6,0.801223,0.858579
-1.58,0.811476,0.869421
-1.56,0.821617,0.879905
-1.54,0.831636,0.890012
-1.52,0.841518,0.899725
-1.5,0.851252,0.909027
-1.48,0.860822,0.9179
-1.46,0.870214,0.926328
-1.44,0.879413,0.934296
-1.42,0.888402,0.941787
-1.4,0.897166,0.948786
-1.38,0.905686,0.955281
-1.36,0.913944,0.961257
-1.34,0.921921,0.966703
-1.32,0.929599,0.971605
-1.3,0.936957,0.975954
-1.28,0.943973,0.97974
-1.26,0.950626,0.982952
-1.24,0.956894,0.985585
-1.22,0.962754,0.98763
-1.2,0.968183,0.989081
-1.18,0.973155,0.989933
-1.16,0.977647,0.990184
-1.14,0.981634,0.98983
-1.12,0.985091,0.988869
-1.1,0.987992,0.987302
-1.08,0.990311,0.98513
-1.06,0.992024,0.982355
-1.04,0.993104,0.978979
-1.02,0.993528,0.975009
-1,0.99327,0.970449
-0.98,0.992306,0.965307
-0.96,0.990615,0.959591
-0.94,0.988175,0.953311
-0.92,0.984965,0.946478
-0.9,0.980968,0.939103
-0.88,0.976167,0.931201
-0.86,0.970549,0.922785
-0.84,0.964101,0.91387
-0.82,0.956816,0.904475
-0.8,0.948688,0.894616
-0.78,0.939716,0.884312
-0.76,0.929902,0.873583
-0.74,0.919253,0.86245
-0.72,0.907778,0.850935
-0.7,0.895492,0.839059
-0.68,0.882417,0.826848
-0.66,0.868577,0.814324
-0.64,0.854001,0.801513
-0.62,0.838725,0.78844
-0.6,0.822787,0.775131
-0.58,0.806234,0.761613
-0.56,0.789113,0.747913
-0.54,0.77148,0.734059
-0.52,0.753392,0.720077
-0.5,0.734912,0.705998
-0.48,0.716104,0.691847
-0.46,0.697038,0.677654
-0.44,0.677784,0.663447
-0.42,0.658416,0.649255
-0.4,0.639006,0.635104
-0.38,0.61963,0.621024
-0.36,0.600361,0.607041
-0.34,0.581274,0.593184
-0.32,0.562441,0.579478
-0.3,0.543932,0.565951
-0.28,0.525814,0.552627
-0.26,0.508152,0.539532
-0.24,0.491008,0.526691
-0.22,0.474437,0.514126
-0.2,0.458492,0.501862
-0.18,0.443219,0.489919
-0.16,0.428663,0.478318
-0.14,0.414859,0.46708
-0.12,0.40184,0.456223
-0.1,0.389632,0.445766
-0.08,0.378257,0.435723
-0.06,0.367729,0.426112
-0.04,0.358061,0.416946
-0.02,0.349257,0.408238
0,0.341319,0.4
0.02,0.334244,0.392242
0.04,0.328023,0.384972
0.06,0.322646,0.378199
0.08,0.318096,0.371928
0.1,0.314357,0.366165
0.12,0.311405,0.360912
0.14,0.309217,0.356172
0.16,0.307767,0.351946
0.18,0.307025,0.348233
0.2,0.306961,0.34503
0.22,0.307543,0.342334
0.24,0.308739,0.340141
0.26,0.310514,0.338445
0.28,0.312833,0.337238
0.3,0.315661,0.336511
0.32,0.318962,0.336255
0.34,0.322701,0.33646
0.36,0.326841,0.337112
0.38,0.331348,0.338199
0.4,0.336185,0.339707
0.42,0.34132,0.34162
0.44,0.346716,0.343924
0.46,0.352342,0.3466
0.48,0.358164,0.349631
0.5,0.364151,0.352999
0.52,0.370273,0.356684
0.54,0.376499,0.360668
0.56,0.382802,0.364929
0.58,0.389152,0.369447
0.6,0.395526,0.374201
0.62,0.401896,0.379169
0.64,0.40824,0.38433
0.66,0.414534,0.389661
0.68,0.420758,0.39514
0.7,0.42689,0.400745
0.72,0.432912,0.406453
0.74,0.438806,0.412243
0.76,0.444556,0.418092
0.78,0.450146,0.423979
0.8,0.455561,0.42988
0.82,0.46079,0.435776
0.84,0.465819,0.441644
0.86,0.470638,0.447464
0.88,0.475237,0.453216
0.9,0.479607,0.45888
0.92,0.483742,0.464436
0.94,0.487632,0.469867
0.96,0.491273,0.475153
0.98,0.49466,0.480278
1,0.497789,0.485225
1.02,0.500656,0.489977
1.04,0.503258,0.494521
1.06,0.505594,0.498841
1.08,0.507663,0.502924
1.1,0.509463,0.506757
1.12,0.510995,0.510329
1.14,0.51226,0.513629
1.16,0.513258,0.516646
1.18,0.513991,0.519372
1.2,0.514462,0.521798
1.22,0.514673,0.523918
1.24,0.514626,0.525724
1.26,0.514325,0.527212
1.28,0.513775,0.528377
1.3,0.512977,0.529215
1.32,0.511938,0.529723
1.34,0.51066,0.5299
1.36,0.50915,0.529745
1.38,0.507411,0.529257
1.4,0.505449,0.528438
1.42,0.503269,0.527288
1.44,0.500876,0.525811
1.46,0.498276,0.524008
1.48,0.495474,0.521884
1.5,0.492476,0.519444
1.52,0.489288,0.516692
1.54,0.485915,0.513634
1.56,0.482363,0.510276
1.58,0.478638,0.506626
1.6,0.474746,0.502691
1.62,0.470692,0.498479
1.64,0.466483,0.493999
1.66,0.462124,0.489258
1.68,0.457621,0.484268
1.7,0.45298,0.479036
1.72,0.448206,0.473574
1.74,0.443305,0.467891
1.76,0.438283,0.461998
1.78,0.433145,0.455906
1.8,0.427897,0.449626
1.82,0.422544,0.443168
1.84,0.417092,0.436545
1.86,0.411545,0.429767
1.88,0.405909,0.422845
1.9,0.40019,0.415791
1.92,0.394391,0.408617
1.94,0.388518,0.401334
1.96,0.382577,0.393952
1.98,0.376571,0.386483
2,0.370504,0.378939
2.02,0.364384,0.371329
2.04,0.358211,0.363666
2.06,0.351994,0.355958
2.08,0.345733,0.348218
2.1,0.339435,0.340454
2.12,0.333103,0.332676
2.14,0.326741,0.324895
2.16,0.320353,0.31712
2.18,0.313943,0.309359
2.2,0.307514,0.301622
2.22,0.301071,0.293917
2.24,0.294616,0.286251
2.26,0.288152,0.278634
2.28,0.281684,0.271072
2.3,0.275215,0.263572
2.32,0.268746,0.256141
2.34,0.262283,0.248786
2.36,0.255826,0.241513
2.38,0.249379,0.234327
2.4,0.242946,0.227233
2.42,0.236528,0.220238
2.44,0.230128,0.213345
2.46,0.223748,0.206559
2.48,0.217391,0.199884
2.5,0.211058,0.193323
2.52,0.204753,0.186879
2.54,0.198478,0.180557
2.56,0.192233,0.174357
2.58,0.186021,0.168284
2.6,0.179845,0.162338
2.62,0.173705,0.156522
2.64,0.167603,0.150837
2.66,0.161542,0.145284
2.68,0.155521,0.139864
2.7,0.149544,0.134577
2.72,0.143611,0.129425
2.74,0.137724,0.124407
2.76,0.131883,0.119524
2.78,0.12609,0.114774
2.8,0.120347,0.110158
2.82,0.114653,0.105674
2.84,0.10901,0.101323
2.86,0.10342,0.0971016
2.88,0.0978813,0.0930103
2.9,0.0923969,0.0890472
2.92,0.0869665,0.0852109
2.94,0.0815911,0.0814995
2.96,0.076271,0.0779115
2.98,0.0710071,0.0744449
3,0.0657996,0.0710976
3.02,0.0606491,0.0678676
3.04,0.0555558,0.0647528
3.06,0.0505204,0.0617508
3.08,0.045543,0.0588594
3.1,0.0406239,0.0560762
3.12,0.0357631,0.0533988
3.14,0.0309611,0.0508246
3.16,0.0262179,0.0483512
3.18,0.0215337,0.0459761
3.2,0.0169083,0.0436967
3.22,0.012342,0.0415104
3.24,0.00783479,0.0394146
3.26,0.00338638,0.0374067
3.28,-0.00100303,0.0354843
3.3,-0.0053339,0.0336446
3.32,-0.00960594,0.0318852
3.34,-0.0138196,0.0302034
3.36,-0.0179749,0.0285969
3.38,-0.0220723,0.027063
3.4,-0.0261117,0.0255993
3.42,-0.0300937,0.0242033
3.44,-0.0340184,0.0228728
3.46,-0.0378861,0.0216052
3.48,-0.0416975,0.0203984
3.5,-0.0454525,0.0192499
3.52,-0.0491515,0.0181576
3.54,-0.0527946,0.0171194
3.56,-0.0563832,0.016133
3.58,-0.0599168,0.0151963
3.6,-0.0633959,0.0143074
3.62,-0.0668216,0.0134642
3.64,-0.0701939,0.0126649
3.66,-0.073513,0.0119075
3.68,-0.0767798,0.0111903
3.7,-0.0799946,0.0105114
3.72,-0.083158,0.00986912
3.74,-0.0862706,0.00926185
3.76,-0.0893326,0.00868797
3.78,-0.0923444,0.0081459
3.8,-0.0953074,0.00763416
3.82,-0.0982213,0.0071513
3.84,-0.101087,0.00669592
3.86,-0.103905,0.00626668
3.88,-0.106676,0.00586229
3.9,-0.1094,0.00548149
3.92,-0.112078,0.0051231
3.94,-0.11471,0.00478598
3.96,-0.117298,0.00446901
3.98,-0.119841,0.00417114
