x,Predict,Actual
-4,-0.0631961,0.00496485
-3.98,-0.0604462,0.00532798
-3.96,-0.0576465,0.00571515
-3.94,-0.0547968,0.00612775
-3.92,-0.0518959,0.00656723
-3.9,-0.0489432,0.00703511
-3.88,-0.0459375,0.00753299
-3.86,-0.0428784,0.00806254
-3.84,-0.0397649,0.00862547
-3.82,-0.0365965,0.00922361
-3.8,-0.033372,0.00985884
-3.78,-0.0300907,0.0105331
-3.76,-0.0267518,0.0112485
-3.74,-0.0233546,0.0120072
-3.72,-0.0198978,0.0128113
-3.7,-0.016381,0.0136631
-3.68,-0.0128031,0.014565
-3.66,-0.00916356,0.0155196
-3.64,-0.00546098,0.0165293
-3.62,-0.00169462,0.0175968
-3.6,0.00213593,0.0187248
-3.58,0.00603199,0.0199161
-3.56,0.00999439,0.0211738
-3.54,0.0140237,0.0225007
-3.52,0.0181211,0.0239
-3.5,0.0222875,0.0253749
-3.48,0.0265235,0.0269286
-3.46,0.0308303,0.0285645
-3.44,0.0352088,0.0302861
-3.42,0.0396599,0.0320969
-3.4,0.0441841,0.0340006
-3.38,0.0487828,0.0360007
-3.36,0.0534567,0.0381013
-3.34,0.0582064,0.0403059
-3.32,0.0630332,0.0426188
-3.3,0.0679376,0.0450437
-3.28,0.0729209,0.0475849
-3.26,0.0779839,0.0502464
-3.24,0.0831268,0.0530325
-3.22,0.0883511,0.0559473
-3.2,0.0936578,0.0589953
-3.18,0.0990471,0.0621807
-3.16,0.10452,0.0655078
-3.14,0.110078,0.0689812
-3.12,0.115722,0.0726052
-3.1,0.121451,0.0763842
-3.08,0.127267,0.0803227
-3.06,0.133171,0.084425
-3.04,0.139164,0.0886956
-3.02,0.145246,0.0931389
-3,0.151418,0.0977592
-2.98,0.15768,0.102561
-2.96,0.164034,0.107548
-2.94,0.170479,0.112725
-2.92,0.177018,0.118095
-2.9,0.183649,0.123663
-2.88,0.190374,0.129433
-2.86,0.197194,0.135409
-2.84,0.204108,0.141593
-2.82,0.211118,0.14799
-2.8,0.218222,0.154602
-2.78,0.225424,0.161433
-2.76,0.232722,0.168486
-2.74,0.240116,0.175763
-2.72,0.247608,0.183267
-2.7,0.255197,0.191
-2.68,0.262884,0.198964
-2.66,0.270668,0.20716
-2.64,0.27855,0.21559
-2.62,0.28653,0.224256
-2.6,0.294608,0.233157
-2.58,0.302783,0.242294
-2.56,0.311057,0.251667
-2.54,0.319427,0.261276
-2.52,0.327895,0.271119
-2.5,0.336459,0.281196
-2.48,0.34512,0.291505
-2.46,0.353877,0.302044
-2.44,0.362728,0.31281
-2.42,0.371675,0.323801
-2.4,0.380715,0.335012
