x,Predict,Actual
-4,-0.0614929,0.00496485
-3.98,-0.0590056,0.00532798
-3.96,-0.05647,0.00571515
-3.94,-0.053885,0.00612775
-3.92,-0.05125,0.00656723
-3.9,-0.0485641,0.00703511
-3.88,-0.0458258,0.00753299
-3.86,-0.0430353,0.00806254
-3.84,-0.0401908,0.00862547
-3.82,-0.0372918,0.00922361
-3.8,-0.0343373,0.00985884
-3.78,-0.0313262,0.0105331
-3.76,-0.0282575,0.0112485
-3.74,-0.0251305,0.0120072
-3.72,-0.021944,0.0128113
-3.7,-0.0186971,0.0136631
-3.68,-0.0153888,0.014565
-3.66,-0.012018,0.0155196
-3.64,-0.00858366,0.0165293
-3.62,-0.00508475,0.0175968
-3.6,-0.0015204,0.0187248
-3.58,0.0021106,0.0199161
-3.56,0.00580931,0.0211738
-3.54,0.0095768,0.0225007
-3.52,0.013414,0.0239
-3.5,0.0173224,0.0253749
-3.48,0.0213027,0.0269286
-3.46,0.0253562,0.0285645
-3.44,0.029484,0.0302861
-3.42,0.0336872,0.0320969
-3.4,0.037967,0.0340006
-3.38,0.0423242,0.0360007
-3.36,0.0467606,0.0381013
-3.34,0.0512764,0.0403059
-3.32,0.0558735,0.0426188
-3.3,0.0605531,0.0450437
-3.28,0.0653157,0.0475849
-3.26,0.0701629,0.0502464
-3.24,0.0750959,0.0530325
-3.22,0.0801156,0.0559473
-3.2,0.0852233,0.0589953
-3.18,0.0904202,0.0621807
-3.16,0.0957073,0.0655078
-3.14,0.101086,0.0689812
-3.12,0.106557,0.0726052
-3.1,0.112122,0.0763842
-3.08,0.117781,0.0803227
-3.06,0.123536,0.084425
-3.04,0.129388,0.0886956
-3.02,0.135338,0.0931389
-3,0.141387,0.0977592
-2.98,0.147537,0.102561
-2.96,0.153787,0.107548
-2.94,0.16014,0.112725
-2.92,0.166595,0.118095
-2.9,0.173155,0.123663
-2.88,0.179819,0.129433
-2.86,0.186589,0.135409
-2.84,0.193467,0.141593
-2.82,0.200451,0.14799
-2.8,0.207544,0.154602
-2.78,0.214746,0.161433
-2.76,0.222057,0.168486
-2.74,0.229479,0.175763
-2.72,0.237012,0.183267
-2.7,0.244656,0.191
-2.68,0.252412,0.198964
-2.66,0.260281,0.20716
-2.64,0.268262,0.21559
-2.62,0.276356,0.224256
-2.6,0.284563,0.233157
-2.58,0.292884,0.242294
-2.56,0.301317,0.251667
-2.54,0.309865,0.261276
-2.52,0.318525,0.271119
-2.5,0.327298,0.281196
-2.48,0.336184,0.291505
-2.46,0.345181,0.302044
-2.44,0.35429,0.31281
-2.42,0.363509,0.323801
-2.4,0.372839,0.335012
-2.38,0.382277,0.34644
-2.36,0.391823,0.358081
-2.34,0.401476,0.369928
-2.32,0.411233,0.381977
-2.3,0.421094,0.394222
-2.28,0.431056,0.406655
-2.26,0.441119,0.41927
-2.24,0.451278,0.432059
-2.22,0.461533,0.445013
-2.2,0.47188,0.458124
-2.18,0.482317,0.471382
-2.16,0.492841,0.484777
-2.14,0.503448,0.498298
-2.12,0.514135,0.511935
-2.1,0.524899,0.525675
-2.08,0.535735,0.539505
-2.06,0.546638,0.553415
-2.04,0.557605,0.567389
-2.02,0.56863,0.581414
-2,0.579709,0.595475
-1.98,0.590835,0.609558
-1.96,0.602003,0.623648
-1.94,0.613207,0.637727
-1.92,0.62444,0.651781
-1.9,0.635695,0.665793
-1.88,0.646964,0.679744
-1.86,0.658242,0.693619
-1.84,0.669518,0.707398
-1.82,0.680784,0.721065
-1.8,0.692033,0.7346
-1.78,0.703254,0.747985
-1.76,0.714437,0.761202
-1.74,0.725573,0.774231
-1.72,0.73665,0.787054
-1.7,0.747659,0.799651
-1.68,0.758586,0.812003
-1.66,0.76942,0.82409
-1.64,0.780149,0.835895
-1.62,0.790759,0.847398
-1.6,0.801238,0.858579
-1.58,0.811569,0.869421
-1.56,0.821742,0.879905
-1.54,0.831738,0.890012
-1.52,0.841544,0.899725
-1.5,0.851144,0.909027
-1.48,0.860522,0.9179
-1.46,0.86966,0.926328
-1.44,0.878542,0.934296
-1.42,0.887151,0.941787
-1.4,0.895469,0.948786
-1.38,0.903477,0.955281
-1.36,0.911158,0.961257
-1.34,0.918493,0.966703
-1.32,0.925463,0.971605
-1.3,0.93205,0.975954
-1.28,0.938233,0.97974
-1.26,0.943995,0.982952
-1.24,0.949317,0.985585
-1.22,0.954178,0.98763
-1.2,0.958561,0.989081
-1.18,0.962448,0.989933
-1.16,0.96582,0.990184
-1.14,0.968658,0.98983
-1.12,0.970948,0.988869
-1.1,0.97267,0.987302
-1.08,0.97381,0.98513
-1.06,0.974354,0.982355
-1.04,0.974285,0.978979
-1.02,0.973593,0.975009
-1,0.972264,0.970449
-0.98,0.970289,0.965307
-0.96,0.967658,0.959591
-0.94,0.964363,0.953311
-0.92,0.9604,0.946478
-0.9,0.955764,0.939103
-0.88,0.950453,0.931201
-0.86,0.944466,0.922785
-0.84,0.937805,0.91387
-0.82,0.930476,0.904475
-0.8,0.922483,0.894616
-0.78,0.913836,0.884312
-0.76,0.904546,0.873583
-0.74,0.894627,0.86245
-0.72,0.884095,0.850935
-0.7,0.872968,0.839059
-0.68,0.861268,0.826848
-0.66,0.849019,0.814324
-0.64,0.836246,0.801513
-0.62,0.822978,0.78844
-0.6,0.809246,0.775131
